Concept(EN)	ConceptClass	Concept(IT)	SubjectCode	No.Concept	No.Phrase	Feature	RelationType	Phrase
tower	building	torre	s74	19		4	is_tall	ese	è_di_altezza_variabile
train	vehicle	treno	s74	20		1	a_vehicle	ch	mezzo
train	vehicle	treno	s74	20		2	used_for_transportation	sf	di_trasporto
train	vehicle	treno	s74	20		3	has_cars	ece	suddiviso_in_vagoni
train	vehicle	treno	s74	20		4	used_on_rail_tracks	se	viaggia_su_binari
train	vehicle	treno	s74	20		5	requires_electricity	ic	va_a_elettricità
potato	vegetable	patata	s74	21		1	a_tuber	ch	tubero
potato	vegetable	patata	s74	21		2	is_edible	sa	commestibile
potato	vegetable	patata	s74	21		3	is_brown	ese	di_colore_marron_chiaro
potato	vegetable	patata	s74	21		4	grows_underground	sl	cresce_sottoterra
potato	vegetable	patata	s74	21		5	eaten_by_frying	sa	buona_fritta
bridge	building	ponte	s74	22		1	a_construction	ch	costruzione
bridge	building	ponte	s74	22		2	used_for_connecting_land	sf	serve_a_congiungere_due_sponde
bridge	building	ponte	s74	22		3	is_ancient	st	in_uso_sin_dall'antichità
bridge	building	ponte	s74	22		4	made_of_brick	em	di_mattoni
bridge	building	ponte	s74	22		5	made_of_stones	em	di_pietre
sword	implement	spada	s74	23		1	a_weapon	ch	arma
sword	implement	spada	s74	23		2	a_side_arm	ch	arma_bianca
sword	implement	spada	s74	23		3	made_of_steel	em	in_acciaio
sword	implement	spada	s74	23		4	is_ancient	st	usata_nei_tempi_antichi
sword	implement	spada	s74	23		5	used_for_killing	sf	strumento_di_morte
airplane	vehicle	aeroplano	s74	24		1	a_vehicle	ch	mezzo
airplane	vehicle	aeroplano	s74	24		2	used_for_transportation	sf	di_trasporto
airplane	vehicle	aeroplano	s74	24		3	travels_in_the_sky	sl	viaggia_nei_cieli
airplane	vehicle	aeroplano	s74	24		4	is_fast	iep	raggiunge_velocità_molto_alte
airplane	vehicle	aeroplano	s74	24		5	used_by_passengers	sp	trasporta_persone
airplane	vehicle	aeroplano	s74	24		6	used_for_cargo	se	trasporta_merci
pineapple	fruit	ananas	s74	25		1	a_fruit	ch	frutto
pineapple	fruit	ananas	s74	25		2	grows_in_warm_climates	sl	tropicale
pineapple	fruit	ananas	s74	25		3	is_yellow_inside	esi	colore_giallo
pineapple	fruit	ananas	s74	25		4	tastes_sweet	esi	sapore_dolce
pineapple	fruit	ananas	s74	25		5	has_a_hard_skin	ece	ha_una_scorza_molto_dura
leg	bodypart	gamba	s75	1		1	lower_part_of_body	ew	è_una_delle_2_parti_inferiori
leg	bodypart	gamba	s75	1		2	a_body_part	ch	parti_del_corpo
leg	bodypart	gamba	s75	1		3	has_2_joints	eci	ha_2_giunture
leg	bodypart	gamba	s75	1		4	used_for_walking	sf	serve_per_consentire_la_deambulazione
head	bodypart	testa	s75	2		1	top_part_of_body	ew	parte_finale_del_corpo
head	bodypart	testa	s75	2		2	has_hair	ece	i_capelli_crescono_su_di_essa
head	bodypart	testa	s75	2		3	has_a_brain	eci	è_la_sede_del_cervello
head	bodypart	testa	s75	2		4	has_eyes	ece	è_la_sede_degli_occhi
head	bodypart	testa	s75	2		5	has_a_mouth	ece	è_la_sede_della_bocca
head	bodypart	testa	s75	2		6	has_ears	ece	è_la_sede_delle_orecchie
jacket	clothing	giacca	s75	3		1	clothing	ch	capo_di_vestiario
jacket	clothing	giacca	s75	3		2	has_2_sleeves	ece	dotato_di_2_maniche
jacket	clothing	giacca	s75	3		3	worn_for_covering	sf	serve_per_coprire_il_corpo
jacket	clothing	giacca	s75	3		4	worn_for_warmth	sf	serve_per_riscaldare_il_corpo
armchair	furniture	poltrona	s75	4		1	a_structure	ch	struttura
armchair	furniture	poltrona	s75	4		2	has_4_legs	ece	con_4_appoggi_al_terreno
armchair	furniture	poltrona	s75	4		3	used_for_comfortable_sitting	sf	serve_per_una_seduta_comoda
chair	furniture	sedia	s75	5		1	has_4_legs	ece	dotata_di_4_appoggi
chair	furniture	sedia	s75	5		2	has_simple_structure	ese	struttura_semplice
chair	furniture	sedia	s75	5		3	has_simple_structure	ese	struttura_lineare
chair	furniture	sedia	s75	5		4	used_for_sitting	sf	serve_per_consentire_la_seduta_durante_le_attività
garage	building	garage	s75	6		1	a_place	ch	luogo
garage	building	garage	s75	6		2	is_underground	sl	sotterraneo
garage	building	garage	s75	6		3	found_near_a_house	sl	adiacente_all'abitazione
garage	building	garage	s75	6		4	used_for_storing_cars	sf	adibito_al_posteggio_di_auto
garage	building	garage	s75	6		5	used_for_storing_bikes	sf	adibito_al_posteggio_di_cicli
garage	building	garage	s75	6		6	used_for_storing_motorbikes	sf	adibito_al_posteggio_di_motocicli
cherry	fruit	ciliegia	s75	7		1	a_fruit	ch	frutto
cherry	fruit	ciliegia	s75	7		2	is_round	ese	rotondo
cherry	fruit	ciliegia	s75	7		3	is_small	ese	piccolo
cherry	fruit	ciliegia	s75	7		4	is_red	ese	colore_rosso
cherry	fruit	ciliegia	s75	7		5	has_a_pit	eci	ha_un_nocciolo
cherry	fruit	ciliegia	s75	7		6	comes_in_pairs	eq	legata_ad_un'altra
chemise	clothing	camicia	s75	8		1	clothing	ch	capo_di_vestiario
chemise	clothing	camicia	s75	8		2	is_light	ese	tessuto_leggero
chemise	clothing	camicia	s75	8		3	open_in_front	ese	aperta_sul_davanti
chemise	clothing	camicia	s75	8		4	used_by_closing_with_buttons	sa	chiudibile_con_bottoni
table	furniture	tavolo	s75	9		1	a_structure	ch	struttura
table	furniture	tavolo	s75	9		2	has_4_legs	ece	con_4_gambe
table	furniture	tavolo	s75	9		3	used_for_holding	sf	utilizzato_per_l'appoggio_di_oggetti
comb	implement	pettine	s75	10		1	an_object	ch	oggetto
comb	implement	pettine	s75	10		2	12_cm_long	eq	dalla_dimensione_media_di_12_cm
comb	implement	pettine	s75	10		3	is_thin	ese	sottile
comb	implement	pettine	s75	10		4	has_teeth	ece	con_dei_dentini
comb	implement	pettine	s75	10		5	used_for_hair	se	usato_per_pettinare_i_capelli
church	building	chiesa	s75	11		1	a_structure	ch	struttura
church	building	chiesa	s75	11		2	used_for_worshipping	sf	adibita_al_culto_religioso
pear	fruit	pera	s75	12		1	a_fruit	ch	frutto
pear	fruit	pera	s75	12		2	is_green	ese	verde
pear	fruit	pera	s75	12		3	is_round	ese	forma_tondeggiante
pear	fruit	pera	s75	12		4	tastes_sweet	esi	gusto_dolce
monkey	mammal	scimmia	s75	13		1	an_animal	ch	animale
monkey	mammal	scimmia	s75	13		2	has_a_fur	ece	è_peloso
monkey	mammal	scimmia	s75	13		3	has_an_opposable_thumb	ece	ha_le_dista_prensili
goose	bird	oca	s75	14		1	an_animal	ch	animale
goose	bird	oca	s75	14		2	has_a_beak	ece	con_becco
goose	bird	oca	s75	14		3	has_webbed_feet	ece	con_zampe_palmate
goose	bird	oca	s75	14		4	has_feathers	ece	è_un_pennuto
goose	bird	oca	s75	14		5	lives_in_ponds	sl	sta_negli_stagni
paintbrush	implement	pennello	s75	15		1	used_for_painting	sf	strumento_per_la_pittura
paintbrush	implement	pennello	s75	15		2	is_long	ese	forma_affusolata
paintbrush	implement	pennello	s75	15		3	has_a_handle	ece	manico_rigido
paintbrush	implement	pennello	s75	15		4	has_bristles	ece	punta_fatta_di_crine
sweater	clothing	pullover	s75	16		1	clothing	ch	indumento
sweater	clothing	pullover	s75	16		2	worn_for_warmth	sf	scaldare
onion	vegetable	cipolla	s75	17		1	a_vegetable	ch	ortaggio
onion	vegetable	cipolla	s75	17		2	eaten_as_seasoning	se	si_usa_come_aggiunta_in_cucina
bear	mammal	orso	s75	18		1	an_animal	ch	animale
bear	mammal	orso	s75	18		2	is_large	ese	dalle_grandi_proporzioni
bear	mammal	orso	s75	18		3	has_a_fur	ece	peloso
bear	mammal	orso	s75	18		4	is_white	ese	bianco
bear	mammal	orso	s75	18		5	is_black	ese	nero
sparrow	bird	passero	s75	19		1	a_bird	ch	uccello
sparrow	bird	passero	s75	19		2	has_feathers	ece	pennuto
sparrow	bird	passero	s75	19		3	is_small	ese	piccolo
shoes	clothing	scarpe	s75	20		1	clothing	ch	indumento
shoes	clothing	scarpe	s75	20		2	worn_on_feet	sf	usato_per_i_piedi
shoes	clothing	scarpe	s75	20		3	worn_for_protection	sf	isola_dal_suolo
shoes	clothing	scarpe	s75	20		4	worn_for_walking	sf	facilita_il_camminare
spinach	vegetable	spinaci	s75	21		1	a_vegetable	ch	verdura
spinach	vegetable	spinaci	s75	21		2	is_green	ese	verdi
spinach	vegetable	spinaci	s75	21		3	eaten_by_cooking	sa	cotti
spinach	vegetable	spinaci	s75	21		4	has_iron	eci	contengono_ferro
broom	implement	scopa	s75	22		1	a_tool	ch	strumento
broom	implement	scopa	s75	22		2	used_for_cleaning	sf	per_la_pulizia
broom	implement	scopa	s75	22		3	has_a_handle	ece	bastone_filiforme
broom	implement	scopa	s75	22		4	has_bristles	ece	con_serole_in_fondo
socks	clothing	calzini	s75	23		1	clothing	ch	indumento
socks	clothing	calzini	s75	23		2	made_of_cloth	em	di_tessuto
socks	clothing	calzini	s75	23		3	worn_on_feet	sf	per_i_piedi
owl	bird	gufo	s75	24		1	an_animal	ch	animale
owl	bird	gufo	s75	24		2	beh_-_is_nocturnal	eb	conduce_vita_notturna
owl	bird	gufo	s75	24		3	has_feathers	ece	è_un_pennuto
owl	bird	gufo	s75	24		4	associated_with_Athens	eae	simbolo_di_Atene
seagull	bird	gabbiano	s75	25		1	a_bird	ch	uccello
seagull	bird	gabbiano	s75	25		2	lives_by_the_ocean	sl	vive_vicino_al_mare
seagull	bird	gabbiano	s75	25		3	beh_-_eats_fish	eb	si_nutre_di_pesce
hand	bodypart	mano	s76	1		1	extreme_part_of_arm	ew	parte_terminale_del_braccio
hand	bodypart	mano	s76	1		2	has_5_fingers	ece	dotata_di_5_dita
hand	bodypart	mano	s76	1		3	used_for_handling	sf	permette_di_maneggiare_oggetti
woodpecker	bird	picchio	s76	2		1	an_animal	ch	animale
woodpecker	bird	picchio	s76	2		2	a_bird	ch	volatile
woodpecker	bird	picchio	s76	2		3	beh_-_hits_against_trees_with_beak	eb	batte_sugli_alberi
woodpecker	bird	picchio	s76	2		4	beh_-_puts_holes_in_trees	eb	fa_buchi_nei_tronchi
woodpecker	bird	picchio	s76	2		5	is_not_a_mammal	in	non_è_un_mammifero
orange	fruit	arancia	s76	3		1	a_fruit	ch	frutto
orange	fruit	arancia	s76	3		2	is_round	ese	rotondo
orange	fruit	arancia	s76	3		3	is_orange	ese	di_colore_arancione
orange	fruit	arancia	s76	3		4	has_a_skin	ece	ha_una_buccia
orange	fruit	arancia	s76	3		5	has_pulp	eci	ha_una_polpa_divisibile_in_spicchi
bus	vehicle	autobus	s76	4		1	a_vehicle	ch	mezzo
bus	vehicle	autobus	s76	4		2	used_for_transportation	sf	di_trasporto
bus	vehicle	autobus	s76	4		3	used_by_many_passengers	sp	permette_di_portare_un_numero_elevato_di_persone
bus	vehicle	autobus	s76	4		4	has_4_wheels	ece	ha_4_ruote
bus	vehicle	autobus	s76	4		5	has_seats	eci	ha_tanti_sedili
bus	vehicle	autobus	s76	4		6	requires_drivers	ic	è_guidato_da_un_uomo
corn	vegetable	mais	s76	5		1	a_fruit	ch	frutto
corn	vegetable	mais	s76	5		2	is_yellow	ese	di_colore_giallo
corn	vegetable	mais	s76	5		3	is_long	ese	di_forma_allungata
corn	vegetable	mais	s76	5		4	has_many_kernels	ece	formato_da_tanti_chicchi
corn	vegetable	mais	s76	5		5	is_edible	sa	è_commestibile
bed	furniture	letto	s76	6		1	an_object	ch	oggetto
bed	furniture	letto	s76	6		2	has_4_legs	ece	a_4_gambe
bed	furniture	letto	s76	6		3	used_for_lying_down	sf	su_cui_ci_si_può_sdraiare
bed	furniture	letto	s76	6		4	used_for_resting	sf	serve_per_riposarsi
bed	furniture	letto	s76	6		5	is_soft	ese	è_morbido
rabbit	mammal	coniglio	s76	7		1	an_animal	ch	animale
rabbit	mammal	coniglio	s76	7		2	a_mammal	ch	mammifero
rabbit	mammal	coniglio	s76	7		3	has_a_fur	ece	con_pelliccia
rabbit	mammal	coniglio	s76	7		4	is_small	ese	piccolo
rabbit	mammal	coniglio	s76	7		5	has_long_ears	ece	orecchie_lunghe
rabbit	mammal	coniglio	s76	7		6	has_a_short_tail	ece	coda_corta
rabbit	mammal	coniglio	s76	7		7	beh_-_eats_grass	eb	erbivoro
peas	vegetable	piselli	s76	8		1	is_green	ese	verdura
peas	vegetable	piselli	s76	8		2	is_green	ese	verde
peas	vegetable	piselli	s76	8		3	a_legume	ch	legumi
peas	vegetable	piselli	s76	8		4	is_round	ese	forma_rotonda
peas	vegetable	piselli	s76	8		5	is_small	ese	molto_piccoli
peas	vegetable	piselli	s76	8		6	grows_in_pods	sor	contenuti_in_baccelli
peas	vegetable	piselli	s76	8		7	associated_with_Mendel	eae	studiati_da_Mendel
closet	furniture	armadio	s76	9		1	an_object	ch	oggetto
closet	furniture	armadio	s76	9		2	is_large	ese	capiente
closet	furniture	armadio	s76	9		3	is_hollow	esi	vuoto_all'interno
closet	furniture	armadio	s76	9		4	used_for_storing_clothing	sf	serve_per_contenere_indumenti
closet	furniture	armadio	s76	9		5	has_doors	ece	ha_delle_ante_apribili
ship	vehicle	nave	s76	10		1	a_vehicle	ch	mezzo
ship	vehicle	nave	s76	10		2	used_for_transportation	sf	di_trasporto
ship	vehicle	nave	s76	10		3	used_for_navigation	sf	viaggia_sull'acqua
ship	vehicle	nave	s76	10		4	used_by_passengers	sp	traporta_persone
ship	vehicle	nave	s76	10		5	used_for_cargo	se	trasporta_merci
ship	vehicle	nave	s76	10		6	used_for_trading	sf	trasporta_cose
dog	mammal	cane	s76	11		1	a_mammal	ch	mammifero
dog	mammal	cane	s76	11		2	has_4_legs	ece	quadrupede
dog	mammal	cane	s76	11		3	has_a_fur	ece	pelliccia
dog	mammal	cane	s76	11		4	is_man's_best_friend	sr	miglior_amico_dell'uomo
dog	mammal	cane	s76	11		5	is_medium_sized	ese	di_media_grandezza
horse	mammal	cavallo	s76	12		1	a_mammal	ch	mammifero
horse	mammal	cavallo	s76	12		2	is_large	ese	di_grandi_dimensioni
horse	mammal	cavallo	s76	12		3	has_4_legs	ece	quadrupede
horse	mammal	cavallo	s76	12		4	has_a_fur	ece	peloso
horse	mammal	cavallo	s76	12		5	beh_-_neighs	eb	nitrisce
horse	mammal	cavallo	s76	12		6	used_by_riding	sa	si_può_cavalcare
tongs	implement	pinze	s76	13		1	an_object	ch	oggetto
tongs	implement	pinze	s76	13		2	used_for_bending_metal	sf	usato_per_piegare_metalli
tongs	implement	pinze	s76	13		3	like_scissors	io	forma_simile_alla_forbice
skyscraper	building	grattacielo	s76	14		1	a_building	ch	edificio
skyscraper	building	grattacielo	s76	14		2	is_tall	ese	molto_alto
skyscraper	building	grattacielo	s76	14		3	used_for_housing_people	sf	contiene_appartamenti
skyscraper	building	grattacielo	s76	14		4	used_for_offices	se	contiene_uffici
eye	bodypart	occhio	s76	15		1	a_body_part	ch	parte_del_corpo_umano
eye	bodypart	occhio	s76	15		2	part_of_head	ew	situato_sul_capo
eye	bodypart	occhio	s76	15		3	used_for_seeing	sf	permette_di_vedere
eye	bodypart	occhio	s76	15		4	used_for_distinguishing_colours	sf	permette_di_distinguere_colori
eye	bodypart	occhio	s76	15		5	is_defected	ssw	può_avere_difetti_di_vista
truck	vehicle	camion	s76	16		1	a_vehicle	ch	mezzo
truck	vehicle	camion	s76	16		2	used_for_travel	sf	di_locomozione
truck	vehicle	camion	s76	16		3	is_long	ese	lungo
truck	vehicle	camion	s76	16		4	has_4_wheels	ece	4_ruote
truck	vehicle	camion	s76	16		5	used_for_cargo	se	trasporta_merci
truck	vehicle	camion	s76	16		6	requires_drivers	ic	guidato_da_1_uomo
finger	bodypart	dito	s76	17		1	part_of_hand	ew	parte_della_mano
finger	bodypart	dito	s76	17		2	has_finger_bones	eci	formato_da_falangi
finger	bodypart	dito	s76	17		3	beh_-_bends	eb	è_flessibile
apple	fruit	mela	s76	18		1	a_fruit	ch	frutto
apple	fruit	mela	s76	18		2	is_hard	ese	dalla_consistenza_dura
apple	fruit	mela	s76	18		3	is_round	ese	rotondo
apple	fruit	mela	s76	18		4	different_colours	ese	di_vari_colori
apple	fruit	mela	s76	18		5	is_edible	sa	commestibile
tower	building	torre	s76	19		1	is_ancient	st	parte_di_edifici_antichi
tower	building	torre	s76	19		2	is_tall	ese	alta
tower	building	torre	s76	19		3	is_round	ese	rotonda
train	vehicle	treno	s76	20		1	a_vehicle	ch	mezzo
train	vehicle	treno	s76	20		2	used_for_travel	sf	di_locomozione
train	vehicle	treno	s76	20		3	used_on_rail_tracks	se	su_rotaie
train	vehicle	treno	s76	20		4	has_cars	ece	formato_da_vari_vagoni
train	vehicle	treno	s76	20		5	used_by_many_passengers	sp	può_trasportare_molte_persone
potato	vegetable	patata	s76	21		1	a_tuber	ch	tubero
potato	vegetable	patata	s76	21		2	is_yellow_inside	esi	di_colore_giallo_all'interno
potato	vegetable	patata	s76	21		3	is_brown	ese	buccia_di_colore_marrone
potato	vegetable	patata	s76	21		4	is_edible	sa	commestibile
bridge	building	ponte	s76	22		1	part_of_a_road	ew	tratto_di_strada
bridge	building	ponte	s76	22		2	made_by_humans	sor	costruito_dall'uomo
bridge	building	ponte	s76	22		3	used_for_crossing_water	sf	permette_di_attraversare_le_acque_senza_utilizzare_navi
sword	implement	spada	s76	23		1	an_object	ch	oggetto
sword	implement	spada	s76	23		2	made_of_metal	em	di_metallo
sword	implement	spada	s76	23		3	is_sharp	ese	ha_lama_affilata
sword	implement	spada	s76	23		4	used_for_hurting	sf	può_ferire
sword	implement	spada	s76	23		5	used_for_killing	sf	può_uccidere
airplane	vehicle	aeroplano	s76	24		1	a_vehicle	ch	mezzo
airplane	vehicle	aeroplano	s76	24		2	used_for_travel	sf	di_locomozione
airplane	vehicle	aeroplano	s76	24		3	travels_in_the_sky	sl	viaggia_in_aria
airplane	vehicle	aeroplano	s76	24		4	used_by_many_passengers	sp	può_portare_molte_persone
pineapple	fruit	ananas	s76	25		1	a_fruit	ch	frutto
pineapple	fruit	ananas	s76	25		2	grows_in_warm_climates	sl	tropicale
pineapple	fruit	ananas	s76	25		3	has_a_hard_skin	ece	scorza_dura
pineapple	fruit	ananas	s76	25		4	is_yellow_inside	esi	colore_interno_giallo
pineapple	fruit	ananas	s76	25		5	is_edible	sa	commestibile
leg	bodypart	gamba	s77	1		1	a_body_part	ch	è_una_parte_del_nostro_corpo
leg	bodypart	gamba	s77	1		2	used_for_moving	sf	ci_permette_di_muoverci
leg	bodypart	gamba	s77	1		3	there_are_2	eq	ogni_essere_umano_è_dotato_di_2_gambe
head	bodypart	testa	s77	2		1	a_body_part	ch	parte_del_corpo_umano
head	bodypart	testa	s77	2		2	connected_to_neck	se	poggia_sul_collo
head	bodypart	testa	s77	2		3	has_bones	eci	costituita_da_una_struttura_ossea
jacket	clothing	giacca	s77	3		1	clothing	ch	un_capo_d'abbigliamento
jacket	clothing	giacca	s77	3		2	worn_on_top_of_other_clothing	sf	si_indossa_per_ultima
jacket	clothing	giacca	s77	3		3	worn_for_warmth	sf	serve_per_tenere_caldo
armchair	furniture	poltrona	s77	4		1	furniture	ch	è_un_oggetto_d'arredamento
armchair	furniture	poltrona	s77	4		2	used_for_sitting	sf	serve_per_permettere_alle_persone_di_sedersi
armchair	furniture	poltrona	s77	4		3	found_in_living-rooms	sl	è_presente_nei_salotti
chair	furniture	sedia	s77	5		1	furniture	ch	è_un_"oggetto_d'arredamento"
chair	furniture	sedia	s77	5		2	less_comfortable_than_an_armchair	io	è_meno_comoda_rispetto_ad_una_poltrona
chair	furniture	sedia	s77	5		3	used_for_sitting	sf	permettere_alle_persone_di_sedersi
garage	building	garage	s77	6		1	a_place	ch	è_un_luogo
garage	building	garage	s77	6		2	used_for_storing_vehicles	sf	dove_si_ripongono_i_veicoli
garage	building	garage	s77	6		3	is_small	ese	piccolo
cherry	fruit	ciliegia	s77	7		1	a_fruit	ch	frutto
cherry	fruit	ciliegia	s77	7		2	is_red	ese	rosso
cherry	fruit	ciliegia	s77	7		3	is_round	ese	rotondo
cherry	fruit	ciliegia	s77	7		4	comes_in_pairs	eq	appaiatà_con_un'altra_ciliegia
chemise	clothing	camicia	s77	8		1	clothing	ch	capo_d'abbigliamento
chemise	clothing	camicia	s77	8		2	is_elegant	ie	indumento_elegante
chemise	clothing	camicia	s77	8		3	is_light	ese	non_tiene_molto_caldo
table	furniture	tavolo	s77	9		1	furniture	ch	oggetto_d'arredamento
